city,year,avg_temperature,avg_humidity,precipitation,state_region,country,baseline_water_stress,water_depletion,seasonal_variability,drought_severity,city_clean,compute_growth_score,hyperscaler_presence,data_center_count,estimated_mw_capacity
"Mumbai, India",2020,26.76,71.67,3019.25,Maharashtra,India,3.313116595405149,2.1662797016877824,2.345657877818029,2.64927576418246,Mumbai,High,1,40,200
"Mumbai, India",2021,26.88,71.39,3210.25,Maharashtra,India,3.313116595405149,2.1662797016877824,2.345657877818029,2.64927576418246,Mumbai,High,1,40,200
"Mumbai, India",2022,26.48,70.92,2904.38,Maharashtra,India,3.313116595405149,2.1662797016877824,2.345657877818029,2.64927576418246,Mumbai,High,1,40,200
"Mumbai, India",2023,27.0,66.91,2660.87,Maharashtra,India,3.313116595405149,2.1662797016877824,2.345657877818029,2.64927576418246,Mumbai,High,1,40,200
"Mumbai, India",2024,27.2,69.07,3132.19,Maharashtra,India,3.313116595405149,2.1662797016877824,2.345657877818029,2.64927576418246,Mumbai,High,1,40,200
"Pune, India",2020,23.72,73.5,2290.42,Maharashtra,India,3.313116595405149,2.1662797016877824,2.345657877818029,2.64927576418246,Pune,Medium,0,15,80
"Pune, India",2021,23.78,73.29,2424.4,Maharashtra,India,3.313116595405149,2.1662797016877824,2.345657877818029,2.64927576418246,Pune,Medium,0,15,80
"Pune, India",2022,23.5,71.71,2223.42,Maharashtra,India,3.313116595405149,2.1662797016877824,2.345657877818029,2.64927576418246,Pune,Medium,0,15,80
"Pune, India",2023,23.82,68.73,1940.79,Maharashtra,India,3.313116595405149,2.1662797016877824,2.345657877818029,2.64927576418246,Pune,Medium,0,15,80
"Pune, India",2024,24.24,69.7,2614.44,Maharashtra,India,3.313116595405149,2.1662797016877824,2.345657877818029,2.64927576418246,Pune,Medium,0,15,80
"Bengaluru, India",2020,23.9,70.9,1064.86,Karnataka,India,3.386873808248251,2.448441306999631,1.6140889400894296,1.8316130528783747,Bengaluru,High,1,40,200
"Bengaluru, India",2021,23.27,73.6,1173.87,Karnataka,India,3.386873808248251,2.448441306999631,1.6140889400894296,1.8316130528783747,Bengaluru,High,1,40,200
"Bengaluru, India",2022,23.14,74.45,1530.7,Karnataka,India,3.386873808248251,2.448441306999631,1.6140889400894296,1.8316130528783747,Bengaluru,High,1,40,200
"Bengaluru, India",2023,23.98,68.25,754.3,Karnataka,India,3.386873808248251,2.448441306999631,1.6140889400894296,1.8316130528783747,Bengaluru,High,1,40,200
"Bengaluru, India",2024,24.71,68.07,938.76,Karnataka,India,3.386873808248251,2.448441306999631,1.6140889400894296,1.8316130528783747,Bengaluru,High,1,40,200
"Hyderabad, India",2020,25.67,67.98,1225.42,Telangana,India,2.701609259268164,1.8844779114636343,2.314745046529156,2.3524243126627,Hyderabad,High,1,40,200
"Hyderabad, India",2021,25.4,68.34,1056.01,Telangana,India,2.701609259268164,1.8844779114636343,2.314745046529156,2.3524243126627,Hyderabad,High,1,40,200
"Hyderabad, India",2022,25.61,66.21,965.99,Telangana,India,2.701609259268164,1.8844779114636343,2.314745046529156,2.3524243126627,Hyderabad,High,1,40,200
"Hyderabad, India",2023,25.98,62.16,916.17,Telangana,India,2.701609259268164,1.8844779114636343,2.314745046529156,2.3524243126627,Hyderabad,High,1,40,200
